num_workers,eta,beta,alpha,alpha_pull,loss
1,0.010772,0.5,0.775,1.0,3.549184960037325
1,0.010772,0.5,1.0,0.1,5.338690697952304
1,0.010772,0.5,1.0,0.325,5.22183887186967
1,0.010772,0.5,1.0,0.55,3.8294702371619516
1,0.010772,0.5,1.0,0.775,8.024478962249336
1,0.010772,0.5,1.0,1.0,7.832261490597938
1,0.010772,1.0,0.1,0.1,8.441544052737816
1,0.010772,1.0,0.1,0.325,9.603652663396407
1,0.010772,1.0,0.1,0.55,9.789079209660105
1,0.010772,1.0,0.1,0.775,10.05403946652776
1,0.010772,1.0,0.1,1.0,10.102700115423195
1,0.010772,1.0,0.325,0.1,3.5199612509817744
1,0.010772,1.0,0.325,0.325,8.702960520947414
1,0.010772,1.0,0.325,0.55,8.300288393892892
1,0.010772,1.0,0.325,0.775,7.799890518648278
1,0.010772,1.0,0.325,1.0,4.703303111722785
1,0.010772,1.0,0.55,0.1,3.524890068818597
1,0.010772,1.0,0.55,0.325,3.924634331408667
1,0.010772,1.0,0.55,0.55,3.9737660214760773
1,0.010772,1.0,0.55,0.775,5.330811379255623
1,0.010772,1.0,0.55,1.0,4.410809854501773
1,0.010772,1.0,0.775,0.1,4.37095192397639
1,0.010772,1.0,0.775,0.325,7.914722358513837
1,0.010772,1.0,0.775,0.55,4.09381541089647
1,0.010772,1.0,0.775,0.775,8.007302806307036
1,0.010772,1.0,0.775,1.0,3.549184960037325
1,0.010772,1.0,1.0,0.1,5.338690697952304
1,0.010772,1.0,1.0,0.325,5.22183887186967
1,0.010772,1.0,1.0,0.55,3.8294702371619516
1,0.010772,1.0,1.0,0.775,8.024478962249336
1,0.010772,1.0,1.0,1.0,7.832261490597938
1,0.010772,2.0,0.1,0.1,8.441544052737816
1,0.010772,2.0,0.1,0.325,9.603652663396407
1,0.010772,2.0,0.1,0.55,9.789079209660105
1,0.010772,2.0,0.1,0.775,10.05403946652776
1,0.010772,2.0,0.1,1.0,10.102700115423195
1,0.010772,2.0,0.325,0.1,3.5199612509817744
1,0.010772,2.0,0.325,0.325,8.702960520947414
1,0.010772,2.0,0.325,0.55,8.300288393892892
1,0.010772,2.0,0.325,0.775,7.799890518648278
1,0.010772,2.0,0.325,1.0,4.703303111722785
1,0.010772,2.0,0.55,0.1,3.524890068818597
1,0.010772,2.0,0.55,0.325,3.924634331408667
1,0.010772,2.0,0.55,0.55,3.9737660214760773
1,0.010772,2.0,0.55,0.775,5.330811379255623
1,0.010772,2.0,0.55,1.0,4.410809854501773
1,0.010772,2.0,0.775,0.1,4.37095192397639
1,0.010772,2.0,0.775,0.325,7.914722358513837
1,0.010772,2.0,0.775,0.55,4.09381541089647
1,0.010772,2.0,0.775,0.775,8.007302806307036
1,0.010772,2.0,0.775,1.0,3.549184960037325
1,0.010772,2.0,1.0,0.1,5.338690697952304
1,0.010772,2.0,1.0,0.325,5.22183887186967
1,0.010772,2.0,1.0,0.55,3.8294702371619516
1,0.010772,2.0,1.0,0.775,8.024478962249336
1,0.010772,2.0,1.0,1.0,7.832261490597938
1,0.010772,5.0,0.1,0.1,nan
1,0.010772,5.0,0.1,0.325,nan
1,0.010772,5.0,0.1,0.55,nan
1,0.010772,5.0,0.1,0.775,nan
1,0.010772,5.0,0.1,1.0,nan
1,0.010772,5.0,0.325,0.1,nan
1,0.010772,5.0,0.325,0.325,nan
1,0.010772,5.0,0.325,0.55,nan
1,0.010772,5.0,0.325,0.775,nan
1,0.010772,5.0,0.325,1.0,nan
1,0.010772,5.0,0.55,0.1,nan
1,0.010772,5.0,0.55,0.325,nan
1,0.010772,5.0,0.55,0.55,nan
1,0.010772,5.0,0.55,0.775,nan
1,0.010772,5.0,0.55,1.0,nan
1,0.010772,5.0,0.775,0.1,nan
1,0.010772,5.0,0.775,0.325,nan
1,0.010772,5.0,0.775,0.55,nan
1,0.010772,5.0,0.775,0.775,nan
1,0.010772,5.0,0.775,1.0,nan
1,0.010772,5.0,1.0,0.1,nan
1,0.010772,5.0,1.0,0.325,nan
1,0.010772,5.0,1.0,0.55,nan
1,0.010772,5.0,1.0,0.775,nan
1,0.010772,5.0,1.0,1.0,nan
1,0.05,0.5,0.1,0.1,45.871342046226275
1,0.05,0.5,0.1,0.325,74.82331694969801
1,0.05,0.5,0.1,0.55,100.78730375636913
1,0.05,0.5,0.1,0.775,114.59215881335179
1,0.05,0.5,0.1,1.0,103.97643924894932
1,0.05,0.5,0.325,0.1,5.906629926349287
1,0.05,0.5,0.325,0.325,16.456589912373374
1,0.05,0.5,0.325,0.55,39.48900998531486
